source,target,value
Haa Alifu,Haa Alifu,12796
Haa Alifu,Haa Dhaalu,223
Haa Alifu,Shaviyani,28
Haa Alifu,Noonu,76
Haa Alifu,Raa,55
Haa Alifu,Baa,77
Haa Alifu,Lhaviyani,73
Haa Alifu,Kaafu,732
Haa Alifu,Alifu Alifu,112
Haa Alifu,Alifu Dhaalu,212
Haa Alifu,Vaavu,7
Haa Alifu,Meemu,30
Haa Alifu,Faafu,11
Haa Alifu,Dhaal,63
Haa Alifu,Thaa,29
Haa Alifu,Laamu,24
Haa Alifu,Gaafu Alif,25
Haa Alifu,Gaaf Dhaalu,27
Haa Alifu,Gnaviyani,9
Haa Alifu,Seenu,40
Haa Dhaalu,Haa Alifu,197
Haa Dhaalu,Haa Dhaalu,17530
Haa Dhaalu,Shaviyani,99
Haa Dhaalu,Noonu,66
Haa Dhaalu,Raa,55
Haa Dhaalu,Baa,99
Haa Dhaalu,Lhaviyani,47
Haa Dhaalu,Kaafu,948
Haa Dhaalu,Alifu Alifu,202
Haa Dhaalu,Alifu Dhaalu,208
Haa Dhaalu,Vaavu,11
Haa Dhaalu,Meemu,37
Haa Dhaalu,Faafu,7
Haa Dhaalu,Dhaal,52
Haa Dhaalu,Thaa,22
Haa Dhaalu,Laamu,31
Haa Dhaalu,Gaafu Alif,29
Haa Dhaalu,Gaaf Dhaalu,31
Haa Dhaalu,Gnaviyani,31
Haa Dhaalu,Seenu,30
Shaviyani,Haa Alifu,37
Shaviyani,Haa Dhaalu,127
Shaviyani,Shaviyani,11911
Shaviyani,Noonu,101
Shaviyani,Raa,53
Shaviyani,Baa,100
Shaviyani,Lhaviyani,89
Shaviyani,Kaafu,403
Shaviyani,Alifu Alifu,70
Shaviyani,Alifu Dhaalu,139
Shaviyani,Vaavu,13
Shaviyani,Meemu,14
Shaviyani,Faafu,5
Shaviyani,Dhaal,43
Shaviyani,Thaa,12
Shaviyani,Laamu,22
Shaviyani,Gaafu Alif,21
Shaviyani,Gaaf Dhaalu,8
Shaviyani,Gnaviyani,10
Shaviyani,Seenu,21
Noonu,Haa Alifu,50
Noonu,Haa Dhaalu,49
Noonu,Shaviyani,52
Noonu,Noonu,10280
Noonu,Raa,65
Noonu,Baa,79
Noonu,Lhaviyani,272
Noonu,Kaafu,411
Noonu,Alifu Alifu,43
Noonu,Alifu Dhaalu,137
Noonu,Vaavu,8
Noonu,Meemu,21
Noonu,Faafu,1
Noonu,Dhaal,31
Noonu,Thaa,20
Noonu,Laamu,32
Noonu,Gaafu Alif,15
Noonu,Gaaf Dhaalu,21
Noonu,Gnaviyani,6
Noonu,Seenu,18
Raa,Haa Alifu,43
Raa,Haa Dhaalu,52
Raa,Shaviyani,92
Raa,Noonu,84
Raa,Raa,14694
Raa,Baa,200
Raa,Lhaviyani,134
Raa,Kaafu,391
Raa,Alifu Alifu,81
Raa,Alifu Dhaalu,103
Raa,Vaavu,19
Raa,Meemu,16
Raa,Faafu,12
Raa,Dhaal,40
Raa,Thaa,31
Raa,Laamu,20
Raa,Gaafu Alif,22
Raa,Gaaf Dhaalu,7
Raa,Gnaviyani,12
Raa,Seenu,29
Baa,Haa Alifu,19
Baa,Haa Dhaalu,32
Baa,Shaviyani,30
Baa,Noonu,29
Baa,Raa,48
Baa,Baa,8690
Baa,Lhaviyani,34
Baa,Kaafu,274
Baa,Alifu Alifu,66
Baa,Alifu Dhaalu,79
Baa,Vaavu,6
Baa,Meemu,15
Baa,Faafu,19
Baa,Dhaal,17
Baa,Thaa,14
Baa,Laamu,19
Baa,Gaafu Alif,13
Baa,Gaaf Dhaalu,22
Baa,Gnaviyani,11
Baa,Seenu,26
Lhaviyani,Haa Alifu,27
Lhaviyani,Haa Dhaalu,37
Lhaviyani,Shaviyani,34
Lhaviyani,Noonu,117
Lhaviyani,Raa,43
Lhaviyani,Baa,83
Lhaviyani,Lhaviyani,7624
Lhaviyani,Kaafu,348
Lhaviyani,Alifu Alifu,44
Lhaviyani,Alifu Dhaalu,95
Lhaviyani,Vaavu,8
Lhaviyani,Meemu,10
Lhaviyani,Faafu,9
Lhaviyani,Dhaal,18
Lhaviyani,Thaa,20
Lhaviyani,Laamu,22
Lhaviyani,Gaafu Alif,20
Lhaviyani,Gaaf Dhaalu,27
Lhaviyani,Gnaviyani,13
Lhaviyani,Seenu,20
Kaafu,Haa Alifu,26
Kaafu,Haa Dhaalu,18
Kaafu,Shaviyani,19
Kaafu,Noonu,25
Kaafu,Raa,28
Kaafu,Baa,46
Kaafu,Lhaviyani,36
Kaafu,Kaafu,9612
Kaafu,Alifu Alifu,31
Kaafu,Alifu Dhaalu,67
Kaafu,Vaavu,4
Kaafu,Meemu,14
Kaafu,Faafu,20
Kaafu,Dhaal,23
Kaafu,Thaa,15
Kaafu,Laamu,18
Kaafu,Gaafu Alif,26
Kaafu,Gaaf Dhaalu,21
Kaafu,Gnaviyani,8
Kaafu,Seenu,24
Alifu Alifu,Haa Alifu,8
Alifu Alifu,Haa Dhaalu,8
Alifu Alifu,Shaviyani,11
Alifu Alifu,Noonu,14
Alifu Alifu,Raa,10
Alifu Alifu,Baa,23
Alifu Alifu,Lhaviyani,22
Alifu Alifu,Kaafu,92
Alifu Alifu,Alifu Alifu,5424
Alifu Alifu,Alifu Dhaalu,64
Alifu Alifu,Vaavu,1
Alifu Alifu,Meemu,8
Alifu Alifu,Faafu,8
Alifu Alifu,Dhaal,6
Alifu Alifu,Thaa,6
Alifu Alifu,Laamu,9
Alifu Alifu,Gaafu Alif,3
Alifu Alifu,Gaaf Dhaalu,4
Alifu Alifu,Gnaviyani,6
Alifu Alifu,Seenu,29
Alifu Dhaalu,Haa Alifu,15
Alifu Dhaalu,Haa Dhaalu,25
Alifu Dhaalu,Shaviyani,11
Alifu Dhaalu,Noonu,8
Alifu Dhaalu,Raa,11
Alifu Dhaalu,Baa,19
Alifu Dhaalu,Lhaviyani,9
Alifu Dhaalu,Kaafu,118
Alifu Dhaalu,Alifu Alifu,96
